epoch,step,train_loss,test_loss
8,8250,0.1128,
8,8500,0.1489,
8,8750,0.2541,
8,9000,0.1389,
8,9250,0.2201,
8,9500,0.1278,
8,9750,0.1602,
8,10000,0.2207,
8,10250,0.0838,
8,10500,0.2374,
8,10750,0.2187,
8,11000,0.2238,
8,11250,0.1778,
8,11500,0.175,
8,11750,0.1783,
8,12000,0.3697,
8,12250,0.1882,
8,12500,0.1497,
8,12750,0.2281,
8,13000,0.1541,
8,13250,0.1592,
8,13500,0.3048,
8,13750,0.3175,
8,14000,0.1501,
8,14250,0.3219,
8,14500,0.182,
8,14750,0.1568,
8,15000,0.1698,
8,15250,0.0906,
8,15500,0.0619,
8,15750,0.1989,
8,16000,0.0785,
8,16250,0.1218,
8,16500,0.2302,
8,16750,0.1546,
8,17000,0.2446,
8,17250,0.3092,
8,17500,0.2145,
8,17750,0.2777,
8,18000,0.1656,
8,18250,0.1261,
8,18500,0.2347,
8,18750,0.386,
8,19000,0.2206,
8,19250,0.2253,
8,19500,0.2015,
8,19750,0.3028,
8,20000,0.1876,
8,20250,0.3325,
8,20500,0.1529,
8,20750,0.1317,
8,21000,0.3352,
8,21250,0.1565,
8,21500,0.2426,
8,21750,0.3106,
8,22000,0.3428,
8,22250,0.2328,
8,22500,0.1361,
8,22750,0.1405,
8,23000,0.3205,
8,23250,0.2517,
8,23500,0.1439,
8,23750,0.1875,
8,24000,0.1414,
8,24250,0.1477,
8,24500,0.1796,
8,24750,0.1469,
8,25000,0.2493,
